ethnicityId,salaryBucketId,departmentId,gender
NaN,2,42,M
NaN,1,42,M
NaN,1,47,M
NaN,2,42,M
NaN,2,42,M
NaN,2,19,M
NaN,2,19,M
NaN,1,23,F
NaN,1,42,M
NaN,1,19,M
NaN,1,42,M
NaN,1,54,M
NaN,1,58,F
NaN,1,43,M
NaN,0,33,F
NaN,1,54,M
NaN,2,48,F
NaN,0,42,M
NaN,1,22,F
NaN,1,22,F
NaN,1,22,F
NaN,2,19,M
NaN,1,42,M
NaN,1,40,M
NaN,1,19,M
NaN,1,58,F
NaN,1,54,M
NaN,1,44,M
NaN,2,54,M
NaN,1,22,F
NaN,2,6,M
NaN,2,52,F
NaN,1,42,M
NaN,1,40,M
NaN,1,21,F
NaN,1,44,M
NaN,1,33,F
NaN,1,29,F
NaN,1,18,M
NaN,1,22,F
NaN,1,40,M
NaN,1,47,M
NaN,1,47,M
NaN,1,54,M
NaN,1,47,M
NaN,0,48,M
NaN,1,47,M
NaN,1,40,M
NaN,1,40,M
NaN,2,41,F
NaN,2,26,M
NaN,1,41,F
NaN,1,42,M
NaN,1,42,M
NaN,1,54,F
NaN,1,42,M
NaN,2,19,M
NaN,1,12,M
NaN,0,40,M
NaN,2,47,F
NaN,1,21,F
NaN,0,47,M
NaN,1,42,M
NaN,0,51,F
NaN,1,31,F
NaN,1,42,M
NaN,1,54,M
NaN,2,42,M
NaN,2,54,M
NaN,1,19,M
NaN,1,47,M
NaN,1,52,F
NaN,2,44,F
NaN,0,3,F
NaN,1,20,M
NaN,1,40,F
NaN,1,42,M
NaN,1,42,M
NaN,1,29,F
NaN,2,54,M
NaN,2,40,F
NaN,1,19,F
NaN,1,40,M
NaN,2,19,M
NaN,0,44,F
NaN,2,42,M
NaN,1,42,F
NaN,2,20,M
NaN,1,54,M
NaN,2,44,F
NaN,2,18,M
NaN,2,20,M
NaN,1,44,F
NaN,2,45,M
NaN,2,42,M
NaN,1,15,F
NaN,2,19,M
NaN,2,42,M
NaN,1,21,F
NaN,1,45,F
NaN,1,47,F
NaN,2,29,F
NaN,1,40,M
NaN,1,22,F
NaN,1,22,F
NaN,1,42,F
NaN,0,42,M
NaN,1,47,F
NaN,1,54,M
NaN,2,42,M
NaN,1,33,M
NaN,1,44,F
NaN,0,10,M
NaN,0,33,F
NaN,1,33,F
NaN,0,33,F
NaN,1,9,F
NaN,1,54,F
NaN,1,44,M
NaN,1,19,M
NaN,1,42,M
NaN,1,45,M
NaN,1,42,M
NaN,1,22,F
NaN,1,54,M
NaN,1,18,F
NaN,1,22,M
NaN,1,6,F
NaN,1,44,M
