Pay Grade/Step,Annual Salary,Class .,Title,Current Dept Description,Employment Status,EEO Job Cat,EEO Job Cat Desc,Gender,Ethnic Code,Ethnic Code Description,Year of Birth,Date Started,FLSA Exempt Y/N
OR0500,60038.25,07783,Info Systems App Analyst 3,Information Technology Service,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1974,10/25/2012,Y
ST0401,27286.78,02900,Circulation Asst 1,Public Library,Full Time,006,Administrative Support,F,02,Black,1988,12/08/2014,N
MAC08B,39551.59,10236,Headstart Teacher 2,Metro Action Commission,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1986,10/29/2012,N
NS,37153.12,10816,Satellite position,Circuit Court Satellite,Full Time,006,Administrative Support,F,02,Black,1956,11/01/2012,N
OR0700,72550.35,10108,Finance Admin,Finance,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1972,10/29/2012,Y
CO0201,38590,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1986,11/01/2012,N
PF0403,50597.25,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,02,Black,1986,01/01/2013,N
ST0801,38590,10745,WO Orders of Prot/Dis Op-DCSO,Sheriff,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1989,11/01/2012,N
CO0301,42082.88,06981,Correctional Officer 2,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1980,11/01/2012,N
CO0301,42082.88,06981,Correctional Officer 2,Sheriff,Full Time,004,Protective Service Workers,F,02,Black,1984,11/01/2012,N
ST0704,38925.65,10614,Security Officer 2,Sheriff,Full Time,006,Administrative Support,M,01,White (Not of Hispanic Origin),1987,11/01/2012,N
ST0803,41162.6,10745,WO Orders of Prot/Dis Op-DCSO,Sheriff,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1988,11/01/2012,N
ST0703,37746.11,10123,Office Support Spec 1,Arts Commission,Full Time,002,Professionals,F,02,Black,1989,11/01/2012,N
CO0301,42082.88,06981,Correctional Officer 2,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1966,11/01/2012,N
CO0201,38590,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,F,02,Black,1964,11/01/2012,N
ST0703,37746.11,07711,Sheriff Prisoner Processor 1,Sheriff,Full Time,006,Administrative Support,F,02,Black,1989,11/01/2012,N
CO0301,42082.88,06981,Correctional Officer 2,Sheriff,Full Time,004,Protective Service Workers,M,03,Hispanic,1982,11/01/2012,N
CO0301,42082.88,06981,Correctional Officer 2,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1990,11/01/2012,N
OR0300,48032.92,04710,Probation Officer 2,Juvenile Court,Full Time,002,Professionals,M,02,Black,1985,11/05/2012,N
OR0300,48032.92,04710,Probation Officer 2,Juvenile Court,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1982,11/05/2012,N
OR0600,61821.87,10886,Helicopter Pilot,Police,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1966,11/16/2012,N
OR0400,37616.24,10758,Public Health Nurse 1,Health,Part Time,002,Professionals,F,01,White (Not of Hispanic Origin),1962,10/27/2012,N
ST0703,28309.32,06880,Recreation Leader,Parks,Part Time,005,Para-Professional,F,02,Black,1956,10/30/2012,N
TG1103,44126.4,01880,Equip Mechanic,General Services,Full Time,007,Skilled Craft Workers,M,02,Black,1976,10/29/2012,N
ET0302,43485.61,10409,Emer Telecommunications Off 3,Emergency Communication Center,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1979,11/12/2012,N
ET0302,43485.61,10409,Emer Telecommunications Off 3,Emergency Communication Center,Full Time,006,Administrative Support,M,01,White (Not of Hispanic Origin),1982,11/12/2012,N
OR0100,41795.57,07243,Admin Svcs Officer 2,Metropolitan Clerk,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1982,11/19/2012,N
ST0802,39876.31,10102,Application Tech 2,Finance,Full Time,003,Technicians,F,01,White (Not of Hispanic Origin),1957,11/19/2012,Y
MAC08B,39551.59,10236,Headstart Teacher 2,Metro Action Commission,Full Time,002,Professionals,F,02,Black,1989,11/12/2012,N
OR0700,73360.31,07346,Human Resources Admin,Public Library,Full Time,002,Professionals,F,02,Black,1962,11/19/2012,Y
OR0400,37616.24,10758,Public Health Nurse 1,Health,Part Time,002,Professionals,F,01,White (Not of Hispanic Origin),1950,11/10/2012,N
SP0100,10434.06,03445,School Crossing Guard,Police,Part Time,004,Protective Service Workers,F,01,White (Not of Hispanic Origin),1956,11/07/2012,N
OR0800,73008.69,10865,Assistant Public Defender 2,Public Defender,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1980,12/03/2012,Y
NS,9144.51,07243,Admin Svcs Officer 2,Sheriff,Part Time,002,Professionals,M,01,White (Not of Hispanic Origin),1954,11/26/2012,N
OR0300,52875.78,10874,Management & Budget Analyst 2,Finance,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1976,12/03/2012,Y
OR0400,54475.68,10758,Public Health Nurse 1,Health,Full Time,002,Professionals,F,02,Black,1968,12/01/2012,N
ST0801,38590,06539,Stores Supv,Fire,Full Time,006,Administrative Support,M,01,White (Not of Hispanic Origin),1972,12/01/2012,N
ST0703,18117.96,06880,Recreation Leader,Parks,Part Time,005,Para-Professional,F,01,White (Not of Hispanic Origin),1963,11/30/2012,N
ST0901,42082.88,06034,Program Coord,Public Library,Full Time,002,Professionals,F,02,Black,1974,10/25/2015,Y
OR0700,82410.87,07242,Admin Svcs Mgr,Public Defender,Full Time,001,Officials and Administrators,F,01,White (Not of Hispanic Origin),1960,12/17/2012,Y
ST0702,36566.57,07711,Sheriff Prisoner Processor 1,Sheriff,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1983,12/16/2012,N
ST0702,36566.57,07365,Police Operations Coord 1,Police,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1986,12/16/2012,N
OR0100,43492.59,07784,Info Systems App Tech 1,Public Library,Full Time,003,Technicians,F,01,White (Not of Hispanic Origin),1974,12/17/2012,N
TG0802,36907.46,10838,Equipment Operator Senior,Public Works,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1988,12/10/2012,N
TG0801,35401.52,10838,Equipment Operator Senior,Public Works,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1987,12/10/2012,N
ST0603,34613.18,10122,Office Support Rep 3,Health,Full Time,006,Administrative Support,F,03,Hispanic,1975,12/17/2012,N
PF0403,50597.25,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1981,01/01/2013,N
PF0403,53633.09,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1983,01/01/2013,N
PF0403,50597.25,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,F,03,Hispanic,1986,01/01/2013,N
PF0403,50597.25,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,03,Hispanic,1989,01/01/2013,N
PF0403,50597.25,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1986,01/01/2013,N
PF0403,53633.09,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,01/01/2013,N
PF0403,50597.25,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,01/01/2013,N
PF0403,50597.25,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,02,Black,1980,01/01/2013,N
PF0403,50597.25,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1986,01/01/2013,N
PF0403,50597.25,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,01/01/2013,N
PF0403,53633.09,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1988,01/01/2013,N
